Job Description Name,Position Summary,Education,Work Experience,Essential Functions,Licenses and Certifications,"Knowledge, Skills and Abilities"
Dir Boundary Planning and Enrollment Forecasting,"The essential function of the position is to provide fair and equitable student assignment plans, as well as develop annual and long range enrollment projections. The Boundary Planning and Enrollment Forecasting department helps to assure the best use of school building capacity by reviewing school attendance boundaries, recommending capital improvements, and assisting The Office of School Choice on plans to allow students to attend an optional school. Lead collaboration with internal and external stakeholders to develop long-range strategic plans; present recommendations to Executive Staff and the Board of Education.",Master's Degree or equivalent experience Required, Professional planning experience in major urban school planning activity  Preferred,"School Attendance Boundaries – Develop and maintain school attendance boundaries used to assign students to a zoned school.  Develop rezoning recommendations that consider many factors including, school capacity, short and long range student projections, current enrollment, student diversity, and geographic features. Lead public collaboration to receive input on rezoning proposals and present final plans to the school board. Implement the board approved changes and communicate with families and other stakeholders impacted by the changes.
Student and Staffing Projections – Develop short and long-range student enrollment forecasts used for school staffing, capital budget, and student assignment plans.
Federal, State, and District Reports – Manage the creation of a variety of narrative and statistical reports, records, and files to inform decisions concerning student assignment.
Program Capacity and Facility Use – Develop and oversee the systems used to track the usage for all district owned buildings.  Manage the annual system to monitor and record that usage for each room in the building.  Manage the program capacities for each school based on the specific academic programs offered for the school to determine the maximum number of students the building can serve.
Capital Budget – Determine short and long-term capital needs to address student enrollment projections and school program capacity. Prioritize the capital needs and assist with the presentation of the capital budget to the school board and metro council.
Information Technology – Manage the district’s geographic data sets (GIS), provide various support and data management for the Student Management System.
Internal and External Communication Plans – Collaborate with other departments and school leaders to develop comprehensive communication plans that promote various district initiatives, including but not limited to student assignment matters. Plan and present at public meetings for all levels of external stakeholders, including school board presentations, parent meetings, and metro council meetings
External Stakeholder Engagement – Serve as the contact for various requests by School Board members and other key external stakeholders.
Strategic Assignments – Assist with developing and implementing various strategic assignments to support the Director of Schools and other executive leadership.
Supervise department of Boundary Planning and Enrollment Forecasting staff.
Give public presentations about boundary planning and enrollment forecasting to various community organizations.","Knowledge of the principles, practices, and current trends in urban planning;
knowledge of the methods, equipment and techniques used in gathering, anal maintain the confidence of employees, public officials and citizens.",
Quality Processing Laboratory Technician,Verifies Product Compliance To Quality Standards by keeping computerized scale units operational and current with formulations; monitoring and verifying records; using statistical methods for monitoring and charting; notifying production supervisor of noncompliance; mixing test batches in laboratory ban bury or mill method; evaluating all results and visual inspection methods; determining status of non-shippable or usable material.,0,"1-3 years experience in a quality laboratory technician role.
4-6 years experience working in a production environment.","Maintains computerized scale system by keeping units operational and current with formulations; monitoring and verifying records.
Maintains factory processes and procedures to standard by using statistical methods for monitoring and charting; notifying production supervisor of noncompliance .
Prepares experimental design projects by mixing test batches in laboratory banbury or mill method.
Releases materials by evaluating all results and visual inspection methods; determining status of non-shippable or usable material.
Maintains quality results by following organization standards
Maintains stock of forms and spare parts by verifying inventory of items; notifying laboratory manager when items are needed.
Maintains safe, secure, and healthy laboratory environment by adhering to organization standards and policies, and to legal regulations; alerting others regarding potential concerns.
Improves laboratory technician job knowledge by attending training sessions; reading technical publications.
Contributes to laboratory and organization success by welcoming related, different, and new requests; helping others accomplish job results.","Quality Technician Certification CQT
","Knowledge of QA principles, concepts, systems, industry practices, and standards.
Ability to analyze data and draw accurate conclusions to promote error reduction and service improvement.
Ability to recognize, analyze, and solve a variety of problems.
Excellent communication skills both written and verbal."
Tire Technician,"Performs tire maintenance, repair, and replacement on vehicles such as cars, trucks, and trailers. Inspects tires for damage or wear, rotates and balances tires, and handles patching or replacement for optimal performance. Checks tire pressure, installs new tires, and ensures proper alignment. Delivers high-quality customer service, recommending tire replacements when necessary. Assists with basic vehicle upkeep and maintenance tasks.
",0,"4-6 years Experience working as a mechanic, tire technician, or closely related role.","Checks tires for wear, tear, or punctures to assess whether repairs or replacements are required.
Extends tire lifespan by rotating tires for evenwear.
Removes old and installs new tires; ensures alignment and torque specifications.
Monitors and adjusts tire pressure in accordance with manufacturer recommendations for best performance and safety.
Explains services being performed and advises customers on tire maintenance, replacement options, and driving safety.
Uses specialized tools and machinery such as mounting machines, air compressors, and tire balancers.
Adheres to safety regulations to minimize accidents during tire servicing.
Maintains records of services performed and facilitates inventory management by keeping tracking of supplies and ordering new parts",,"Knowledge and understanding of tire types and repair methods.
Ability to effectively use specialized tools and equipment.
Excellent communication skills both written and verbal."
TSC Technician I,Higher?level technicians may be asked to provide assistance and training to lower level technicians.,0,0,"ILLUSTRATIVE EXAMPLES OF WORK (May not include all duties performed – These are intended as an illustration of the various types of work performed. The omission of specific duties does not exclude them from the position if the work is similar, related, or a logical assignment to the position.)
Staff provides the set up and repair service of APS computer hardware, computer software, and/or audio?visual equipment.
Staff provides help or assistance on APS equipment to APS personnel on an informal basis.
Attends occasional departmental meetings and training.
Unpacks and performs physical set up of equipment keeps records of service performed and parts used coordinates warranty repairs works independently or as part of a team orders repair parts answers client questions.",,"Ability to exercise judgment and initiative in analyzing computer systems to make sound recommendations and modifications.
Ability to write effectively in order to develop technical documentation and user manuals.
Ability to coordinate work with user offices.
Flexibility and adaptability to deal with changing technologies and priorities.
Ability to work under pressure and meet deadlines.
Ability to establish and maintain effective working relationships with other APS employees, contractors, vendors and county employees.
Ability to travel to all school sites and work a flexible schedule to fulfill job responsibilities."
Acquisition & Assistance Specialist,"Reviews and recommends scopes of work (SOW); drafts requests for proposal or quote; performs cost and price analysis; analyzes proposals or quotes received; analyzes proposed budgets; drafts contracts, grants, cooperative agreements and other procurement instruments and prepares amendments; recommends revisions to various contract provisions; writes memoranda of negotiation; and prepares other required documentation.  Reviews and recommends approval or revision of requisitions. Maintains contract files and keeps records up-to-date and supports award closeouts. Carries out day-to-day activities.",0,"4-6 years Progressively responsible experience in acquisition and assistance, development assistance, or a closely related field.
7-9 years An understanding of US Federal Acquisition Regulations or knowledge and understanding of how to execute and administer a complex acquisition portfolio is desired, particularly as it relates to acquisition through methods of negotiation, sealed bidding, small purchase procedures, and that result in standard and established contract types.","Provides acquisition and assistance support.
Provides the basis for independent selection of appropriate procurement instrument types.
Assists in the preparation of annual procurement plans, SOW’s, and supporting documentation.
Provides authoritative technical guidance to Technical Specialists/Activity Managers/CORs.",,"Ability to lead and participate in project meetings.
Proficient in Microsoft Office applications.
Proficient in project planning and life cycle development.
Assists in monitoring award performance."
Teacher Ex Ed Community Based Transitions,"Provides students assigned to the Community-Based Transition Program with opportunities to achieve employment-related competencies in the workplace and classroom settings. Instruct students individually and in groups, using various teaching methods such as lectures, discussions and demonstrations.",Bachelor's Degree In special education Required, Prior teaching experience with work-based learning Preferred,"Implements a functional curriculum that addresses adult daily living activities; including employment, community involvement, and independent living.
Plans daily lessons to meet the needs of all students assigned to the Community Based Transition Program and adapts teaching methods and instructional materials to meet students’ varying needs and interests related to post-secondary education, employment, independent living, and community involvement.
Develops job site opportunities for job training internships.
Teach socially acceptable behavior, employing techniques such as behavior modification and positive behavior reinforcement. Establishes and enforces rules of behavior and procedures for maintaining order in the classroom, job site and community setting, including functional behavioral assessments, and behavior intervention plans.
Designs and implements assessments that measure progress towards vocational goals. Uses assessment data to refine curriculum and adjust instructional practices.
Maintain accurate and complete student records and prepare reports on children and activities, as required by laws, district policies, and administrative regulations, including Individual Education Plans, Safety Training Plan, and Task Analysis Plan.
Confers with parents/guardians, other teachers, job site supervisors/co-workers, and administrators to resolve students’ social/emotional and/or behavioral issues.
Attends and actively participates in monthly Community Based Transition Program staff meetings and professional development opportunities to enhance skills and understanding of special populations and work-based learning, including training for proper restraint procedures.",Teaching Certification/License Current Tennessee Teaching certificate or eligible for alternative licensure program  Required,
Mgr Workplace Safety,"Under limited supervision, is responsible for conducting inspections of all school facilities and investigating injuries and illnesses on the job. Responsibilities include interpreting, training and administering Occupational Safety and Health Administration (OSHA) standards. Assists in creation and implementation of process improvements and data collection and reporting for IOD, FMLA, ADA and other extended leaves.  Other duties deemed necessary to ensure maximum effectiveness of the workplace safety office may be assigned.","Bachelor's Degree In occupational health and safety, human resources or related field Required"," 5-7 years directly applicable work including safety investigations, audits and training experience Required","Performs safety inspections and audits to ensure work environments are in compliance with Occupational Safety and Health Administration (OSHA), Environmental Protection Agency (EPA), and other regulatory standards.
Investigates accidents, complaints and cases of ill-health related to the workplace which are reported by employees and may require hospitalization.
Facilitates training for school personnel on a variety of professional development topics (e.g. substance abuse, Title VI, workplace violence, effective communications, etc.).
Participates in new employee orientation.  Provides input to improve and further develop new employee orientation and other training and development programs for school leaders.
Provides policy and procedure interpretations to those responsible for supervising others.
Assists in the identification of aberrant behavior, Employee Assistance Plan (EAP) referrals, and other issues as needed.
Assists in creation and implementation of process improvements and data collection and reporting for IOD, FMLA, ADA and other extended leaves.", Occupational safety and health professional certifications applicable to this role   Preferred,"In-depth knowledge of the principles and practices of occupational safety and understanding of the laws and regulations governing safety procedures, types and uses of paid leave for accidents, illness and other needs (ADA, FMLA, on the job injuries, etc.), and policies on the federal, state, and local levels.
Excellent investigative, analytical, and problem-solving skills.
Strong written and verbal communication skills, including ability to interact face-to-face with principals/department head and employees."
Billing Analyst III,The Billing Analyst III ensures accurate and timely billing of freight and tank car repair work by working with a network of plant leadership and analysts.,0,0,"To perform this job successfully an individual must be able to perform the following essential duties satisfactorily. Other duties may be assigned to address business needs and changing business practices.
Ensures timely and accurate billing and invoicing of work completed in our systems daily Rule 1, AAR, Backshop and customer specific billing program.
Ensures all billing edits are updated daily and no variances exist between our ERP and Billing systems for labor or material.
Works with plant leadership for customer specific updates.
Supports billing team in research of invoices.
Monitors industry circulars, AAR Field and Office Manuals to ensure required changes are made to shop processes and software systems. Partners with IT for such system improvements.
Monitors and distributes KPI reports measuring car repair billing performance.
Supports customer billing inquiries and sets appropriate expectations.",,"Ability to collaborate and communicate professionally, both verbally and in writing, at all levels of the organization
Ability to organize and prioritize multiple tasks with accuracy and attention to detail
Ability to drive results through information and team performance
Ability to reason, make decisions and exercise independent judgment in various situations
Ability to solve problems through an analytical approach"
Coach English Learner,"Assists teachers in meeting the needs of English Learners (ELs) students in planning, modeling, and coaching differentiated lesson based on the proficiency levels of the students.  Assists principals and school staff in reviewing and utilizing EL data, and identifying and facilitating professional development based on school data.",Master's Degree In related field of study Required,1-3 years Classroom teaching experience  Required,"Reviews data with administrators and teachers to plan lessons and instruction
Conducts professional development for schools and assist administration in seeking, identifying, and securing needed professional development opportunities.
Conducts and facilitates departmental and grade level PLCS sessions to assist with planning and collaboration for instruction and meaningful differentiation in classrooms.
Conducts coaching cycles and classroom visits and provides feedback to teachers.  Models lessons and instructional strategies for teachers.
Communicate and demonstrate the mission and vision of the EL Office in the work with teachers, administrators, and schools.","Teaching Certification/License Current TN teaching license  Required
 Current ESL and Elementary Endorsement  Required",
Refining Equipment Technician,"Maintains Refining by completing preventive-maintenance schedules; completing equipment changeovers; troubleshooting equipment breakdowns; making repairs; producing spare parts, jogs, and fixtures; installing modifications; recommending improvements.",0,"4-6 years experience in a refining equipment technician role.
7-9 years experience in a refining equipment technician role.","Keeps refining equipment ready by completing preventive-maintenance schedules.
Sets-up refining equipment by completing equipment changeovers.
Restarts refining by troubleshooting equipment breakdowns; making repairs; producing spare parts, jogs, and fixtures; operating shop equipment.
Enhances equipment performance by installing modifications; making adjustments; recommending improvements.
Keeps parts and materials supplies ready by checking stock; anticipating needs; placing and expediting orders; verifying receipt; stocking items.
Documents equipment maintenance actions by completing forms, reports, logs, and records.
Improves refining operations by training and coaching refining operators employees.
Maintains safe, secure, and healthy refining environment by adhering to organization standards and policies, and to legal regulations; alerting others regarding potential concerns.
Improves refining equipment job knowledge by attending training sessions; reading technical publications.
Contributes to refining and organization success by welcoming related, different, and new requests; helping others accomplish job results.",,"Ability to understand and follow instructions
Organized, detail-oriented while meeting strict deadlines.
Ability to process information logically.
Excellent communication skills both written and verbal."
Application Systems Analyst II - Kronos,"Serves as Level II subject matter expert and main contact for Kronos application. Builds, installs, and supports Kronos application. Interprets policies, analyzes workflows, and procedures to ensure alignment with business operations. Conducts investigations to determine specifications and application functionality; documents all findings. Identifies opportunities for improvement by working with end users to develop proposals.  Reports to Applications Manager. ",0,7-9 years Experience in a Kronos support role in a healthcare setting. Or Experience in an application design and implementation role,"Initiates projects by gathering and analyzing user requirements, test planning and develops system to meet end user needs; implements plan to stay on track with project deadlines.
Partners with management to understand business requirements and builds workflows; incorporates effective solutions while engaging with key end user representatives.
Responds to inquiries and delivers support during go-live periods and post live periods to identify and troubleshoot issues; working promptly to resolve issues within a timely manner.
Implements revised or new system requirements and procedures; creates documentation.
Plays a leading role for projects including programming, maintenance, technical support, documentation, and administration of the applications.
Ensures that change management projects manage risk to applications and technologies.
Defines, measures, and meets key operational metrics including performance, incidents and chronic problems, traffic and conversion, etc.
Sets up, tests, documents, audits, and maintains configurations in the various instances of the HR systems (dev, test, and prod) required to support ongoing systems performance, changes in business policies and procedures, changes in regulatory compliance, and/or to implement new functionality.
Collaborates with end-users, IT teams, managed services, external vendors, auditors, etc.
Improves computer hardware job knowledge by attending educational workshops; reviewing professional publications; establishing personal networks; benchmarking state-of-the-art practices; participating in professional societies.",,"Knowledge and understanding of Kronos workflow associated with staff scheduling, time and attendance.
Ability to recognize, analyze, and solve a variety of problems.
Excellent communication skills both written and verbal.
Very strong customer service orientation."
Spec Data Quality and Integrity,"Provides supplemental on-site implementation, troubleshooting, assistance, training, and leadership on issues regarding information managed at the school-level for internal and external data requirements.
",High School Diploma or GED Required,"1-3 years database entry, retrieval, and reporting including customer service support experience Required","Evaluates school compliance with established data quality and procedural standards.  Reports non-compliance issues to school administration with a suggested plan to correct.
Provides supplemental on-site implementation, troubleshooting, assistance, training, and leadership on issues regarding information managed at the school-level for internal and external data requirements.
Assists school staff in the resolution of data errors reported by the Tennessee Education Information System, the MNPS data warehouse and other regulatory agencies.
Provides input on changes in staff assignments and responsibilities that improve data quality and school compliance with internal and external data requirements.
Works to resolve any data issues with team.
Interprets data for school leadership and advises on types of data relevant to the decision-making process
Keeps up-to-date with student management software system changes, state reporting changes, and District policy changes.
Reviews and researches Average Daily Membership to ensure state funding is at a maximum. High School or GED.",,"Proficient in Microsoft Office Suite.
Must pass a computer proficiency test with a minimum score of 90%."
"Manager, Advanced Manufacturing Engineering Plastics",The AME plastic manger will lead the team of tooling engineers and molding engineers at multiple locations.,0,0,"Functional area tasks and responsibilities
Lead initiatives for new product tools and tool changes.
Work closely with product development teams and manufacturing in designing & sourcing molds, working with external vendors, and investigating and improving existing molds with an emphasis on product manufacturing and cost reduction
Lead to deliver tooling solutions that meet expectations, e.g., yield, cycle-time, quality requirements, maintenance’s needs
Lead Tooling Design reviews and generate tooling FMEAs as well as recommend risk mitigations
Support Project timelines and milestones and bring them to completion on time and within budget
Own and complete CAPA tasks and deliverables (Corrective and Preventive)
Initiate and manage projects with adherence to program management guidelines
Proficiency with the use of SPC, DOE and Six Sigma techniques.
Procedure development for tooling areas.
Be able to independently lead a team navigating through hurdles, achieve performance, consider input from multiple functional areas & address the problem through a holistic method
Use broad understanding from start to end of the product manufacturing process in the company to help drive win-win solutions for both product quality and manufacturing
Develop and maintain tooling scorecard for internal and external tools",,"Strong knowledge of plastic part design for manufacturability, and plastic processing.
Expertise of mold manufacturing processes and their capabilities.
Strong knowledge of tool design and fabrication.
Strong skills in project scheduling."
Spec Truancy School Based,"As it relates to a high school's student population, responsible for ensuring that the legal requirements of MNPS to parents and students for student attendance have been satisfied and that student interventions to improve student attendance have been implemented. Actively works with school based personnel, students and their families and Central Office resources to support student attendance interventions.", Two years of higher education Preferred, A combination of post-secondary education and applicable work experience may be considered Required,"Participates in Support and Intervention meetings.
Monitors student attendance and provides necessary interventions.
Investigates student truancy; conducts and documents home visits, student interviews, parent interviews, etc., creates action plan recommendations to improve attendance at the student and school level.
Notifies parents/guardians of child’s truancy and informs them of their legal responsibility to have their child attend school.
Petitions truant students to Juvenile Court or refers them to Metro Student Attendance Center (MSAC).
Supports schools in their efforts to improve student attendance in a variety of individualized interventions.
Works with MNPS Court Liaison to ensure all petitions are appropriately filed and within time constraints.
Compiles, updates and edits data and notes from investigations into computerized archives, spreadsheets, etc.",,Must be proficient in Microsoft Office Suite software.
Assistant Director of Accessibility,Will also learn and support the director in understanding physical and programmatic access issues across the college and when needed filling in for the director in the director's absence.,0,0,"Meets with a caseload of students who disclose a disability as well as with others interested in exploring resources for temporary and possible health needs to provide information and advice regarding accessibility services and related resources both within and outside the college.
Review documentation to determine eligibility for accessibility services and accommodations while also providing direct services to students including advising and strategy development.
Serve as technical support for the department’s accommodation management software, AIM, including generation of reports to be analyzed by the director.
Coordinate direct services to students including notetaking, reading/alternative format and testing accommodations.
Assist the director with implementation of practices to ensure that students receive reasonable and appropriate accommodations.
Assist the director in providing training and advising to the campus community on universal design.
Maintain contact with college constituencies (faculty, administrators, staff, students), professional organizations, and disability agencies in order to take advantage of available resources for continued development of student disability awareness and services on campus.
In collaboration with the Director, the Assistant Director will play a key role in assessment of the program and services. Will assist in collaboration with the Director to ensure that programs and services are the highest quality possible and delivered in a timely manner.
Serve as the primary advisor to student groups with a focus on access and disability issues and topics.
Develop and implement programs and workshops related to disability topics to increase awareness as well as promote better understanding of the department’s role and use of resources to provide access.
Will also learn and support the director in understanding physical and programmatic access issues across the college and when needed filling in for the director in the director's absence.
Accurately evaluate requests for services, accommodation and exceptions.
Develops and implements programs designed to raise the level of awareness of disability and access issues on this campus.
Provides service and support for persons with disability within ADA and institutional guidelines.",,"Experience working with federal laws regarding postsecondary education and disabilities, including ADA and Section 504 of the Rehabilitation Act of 1973
Exposure to and experience working with laws, policies, and practices regarding students with disabilities
Knowledge of federal laws regarding postsecondary education and disabilities, including ADA and Section 504 of the Rehabilitation Act of 1973
Excellent interpersonal skills, including ability to build and sustain key relationships with governing agencies, students with disabilities, and all levels of the college community
Solid writing skills and the ability to communicate with a variety of audiences
Excellent organization skills and ability to set priorities and meet deadlines
Excellent computer skills include being able to work with all Microsoft Office products"
Admin IT Enterprise Systems I,"The Admin Enterprise Systems I position will be responsible for daily operations, maintenance, configuration updates, support and training for specific systems. They will work with vendors and/or level II/III technical staff to review and apply updates to the systems under their control. They will create and maintain documentation and knowledge base articles.  Where required, they will deliver training to end users surrounding the supported solutions. They will assist with the development, review and enforcement of policies and procedures. They will work closely with the systems engineers both in the System Support Group and Infrastructure Support Group to ensure systems and solutions align to district network and operating system standards.  They will be responsible for completing continuing education modules/programs as assigned.",Bachelor's Degree from an accredited institution in a related field Preferred,"1-3 years Experience working with Storage Area Networks, server hardware upgrades and repair Preferred","Performs daily system checks, maintenance and management procedures. Maintain premises-based and cloud tenant resources for centrally managed applications and systems on both physical and virtual platforms.
Coordinates with other technology services sections to ensure availability and reliability of systems to meet corporate objectives.
Provides tier 2 technical support to tier 1 field support staff and end-users as needed, where it relates to enterprise systems and applications.
Assists in the enforcement of policies, procedures and associated training plans for systems administration and their appropriate use.
Supports the implementation and upgrade of systems where required.
Ensures security standards are applied and followed as it relates to, information interchange\file security, server\application hardening, and account management.
Participates in key process improvements for select computing environments throughout the organization, that interoperate with centrally managed resources.
Processes support requests daily within required service level agreements. Escalates issues to management where necessary.  Handles daily interacations with tier 1 support and end users related to system operations and basic training elements.","Knowledge of network protocols and configuration for IPv4 data network operations, including a clear understanding of addressing and subnetting and troubleshooting connectivity issues. High
Low voltage data, Audio Visual Standards and audio distribution system troubleshooting and basic design Medium
Ability to diagnose and resolve technical issues quickly and efficiently. High
Basic skills in managing system implementation projects, including planning, execution and meeting deadlines Medium
Strong interprersonal and communicaiton skills to interact with customers and team members to provide excellent service and support. High
Attention to detail in both ensuring all components are functioning properly and documentation is always accurate. High
Critical thinking as it relates to assissing and mitigating risks associated with assigned systems/solutions. High
Knowledge of audio systems and audio enhancement Low
Knowledge of public address audio systems and components Low
Ability to develop process and training documents Low
Knowledge of digital signage systems over wide area networks Low",
Clerk Accounting I Nutrition Services,Support and troubleshooting stakeholder's IT needs.  Identify and resolve data issues that arise as well as stay up to date on USDA Food and NS Regulations.,High School Diploma or G.E.D. equivalent. Post-secondary coursework related to computer data processing and data analysis Required, A minimum of 2 years’ experience in a public school system and familiarity with USDA Child Nutrition Programs is beneficial Required,"Respond to incoming requests in a timely manner. Document and track support requests and resolutions.
Troubleshoot point-of-sale and school food service management software issues.
Provide entry-level hardware and network supporting, escalating to tier 2 support as needed.
Identify and resolve data issues.
Instruct end users on technology resources. Develop and maintain technical process and procedure documentation.
Ensure reporting accuracy and compliance to local, state, and federal regulation.
Handle sensitive information following privacy and security protocols.
Support financial, inventory, and ordering processes.",,"Ability to work with confidential information,
Excellent organizational skills,
Work with minimal errors,
Self-motivating and proactive,
Critical thinking and problem management,
Proficient working in a computer-based environment,
Strong interpersonal and public relations with both internal and external stakeholders,
Ability to multi-task prioritize, set, and accomplish goals,
Microsoft Office/Office 365,
Strong Time Management,
Goal Oriented,
Remote Desktop Support (AB Tutor),
Familiar with USDA Food and NS Regulations, MCS Software (Newton, Edison, Franklin), and Active Directory."
Dir Audit,"Oversees and conducts all audits of school activity funds for each school and makes recommendations for improvement based on findings. Plans and organizes staff to conduct operational compliance audits. Trains school staff on bookkeeping procedures and correct use of activity funds. Organizes meetings principals and school bookkeepers regarding compliance issues and corrective actions.
",Bachelor's Degree  in Accounting or a related field Required,7-9 years  related experience  Required,"Oversees and conducts mid-year and year-end audits for schools.
Prepares, audits and reviews all financial reports for schools.
Manages staff; oversees tasks performed, assigns duties to ensure department meets deadlines.
Reviews combined audit reports with external auditors prior to submitting required annual reports to State Comptroller.
Consults electronically with school bookkeepers regarding school financial data entered into the system.
Monitors transactions to ensure compliance. Reviews monthly bank reconciliation reports and resolves any issues with schools.
Meets with principals and bookkeepers to review compliance issues and recommends corrective actions.
Keeps abreast of regulations and laws effecting field.",,
Para Pro Ex Ed,"Works directly with a classroom teacher to assist with the implementation of supports and services provided. Collaborate with teachers and students in a variety of tasks related to academics, behavior and physical logistics.  Coaches and encourage students to actively engage in the process of learning and becoming more independent.

Incumbents may be assigned to work with 1 to 2 specific students. If that student/s move to a different school, the Para-Pro will be offered the opportunity to move with that student/s. Should the opportunity be declined, continued employment at the current school will be based on business need.",Associate's Degree in applicable field of study or 48 hours of college credit hours from an accredited college or university or successful completion of Praxis certification Required, Prior experience working with children Preferred,"Provides small group instruction under the guidance and supervision of certificated personnel.
Facilitates and models appropriate social interactions and behaviors among students.
Assists in the personal care of students such as feeding, diapering, lifting, etc.
Monitors, collects and records students’ behavioral and/or academic performance as directed by the teacher.
Actively engages with and consistently supervises all students throughout the day, e.g. playground, field trip, school and classroom settings.
Supervises and engages with students during arrival, dismissal, lunch, and/or other activities designated by the teacher or administrator. May assist and facilitate classroom and lesson preparation.
Implements students IEPs, functional behavioral assessments, safety plans, and/or behavior intervention plans.
Attends and actively participates in professional development opportunities to enhance skills and understanding of special populations, may include training for proper restraint procedures, social and emotional learning best practices and literacy.
Maintains professionalism and confidentiality. Models respectful behavior towards students, peers and supervisors.", Praxis certification  Required,"Proficient in basic computer skills including Microsoft Office Suite.
Demonstrates professionalism and a positive attitude.
Able to maintain confidentiality.
Able to operate a mechanic lift."
Manager - Workforce Analytics,"Manages the development of the team and the adoption of Organizational wide practices involving workforce analytics.  Acts as the manager of workforce data, establishes and enforces overall data modeling standards, guidelines, best practices, techniques, and approaches. Provides thought leadership on BI tools and stays abreast on developing trends for data and analytics visualization. Seeks opportunities to improve data quality and operational efficiency. Owns accountability for intelligence, particularly the design, development, and continuous improvement of actionable metrics/dashboards/trend analysis that enable the business to make data-based decisions. ",0,"10+ years Experience in an analytics, workforce intelligence, or strategy role with 3+ years in project management overseeing and comfortable with large amounts of data using various tools for reporting and data management. Experience with tools to query, analyze, manipulate, and visualize datasets (e.g. SQL, Python, R, SAS, SPSS, Tableau, PowerBI).
10+ years Broad HR background with experience in project management overseeing data, forecasting, and providing on-going consultation and insights to leadership.","Serves as consultant to leadership by leading the development and execution of workforce analytics to provide solutions and in-depth understanding into the dynamics of the workforce.
Leads the team to develop solutions to provide information about the business workforce.
Leverages and develops predictive models to provide insight and data to make critical workforce decisions to improve employee productivity and retention.
Contributes to key business initiatives by implementing quantitative and qualitative methods (focus groups, data collection, surveys, etc.) and interpreting research data.
Designs and develops useful metrics, predictive models, dashboards, analysis, and data reporting to support a variety of HR and business initiatives.
Manages the governance process to identify business requirements, prioritize requirements based on resources budget and timeline, and manage the end-to-end design and development of solutions.
Establishes external relationships and participate in workforce analytic councils to share best practices and attain industry benchmarks.
Ensures that the organization remains current with emerging best practices and techniques with respect to appropriate analytical capabilities.","Certified Analytics Professional (CAP)
SPHR or SHRM-SCP
Certified Data Professional","Predictive Attrition Modeling High
Labor Demand Forecasting High
Skill Gap Analysis Medium
Workforce Productivity Dashboard Medium"
Senior Slot Technician,"Under the direction of the Slot Technical Supervisor, the Senior Slot Technician is responsible for administering proper training while on shift for Slot Technicians, Slot Attendants and Slot Floor Supervisors.",0,0,"Troubleshoots gaming machines, ticketing system and slot accounting system. Performs general maintenance tasks/repairs to gaming machines and related systems. Assists floor staff with any issues that may arise.
Works closely with Lead Slot Technicians to address work orders and repair games that are in a state of inoperability, in order to bring them back into service.
Prepares games, checks part compatibility, and conducts functional testing. Programs game set-up options, as dictated by configuration worksheets. Assumes responsibility and performs testing for accuracy to ensure games perform within selected options.
Properly documents repairs, preventive maintenance, machine prep, standard power analysis and pre-work site surveying. Reads and translates schematic diagrams as applicable for troubleshooting and planning. Compiles and reports information regarding trends, problems, and engineering issues to supervision. Follows documentation, policies and procedures, and performs tasks with limited supervision.
Performs advanced machine and component repair, including logic board repair as well as troubleshooting of player tracking and accounting system components.
Completes department and enterprise-related documentation. Sends, and receives pertinent work emails in a timely and professional manner.
Performs all job duties of the Slot Technician as needed for assistance.
Performs other duties as assigned to support the efficient operation of the department.",,"Minimum one ( year experience of slot and/or electronic repair and maintenance ability to trouble-shoot mechanical and electrical slot machine malfunctions preferred.
Must continually develop technical skills associated the technical slot department operations able to pass periodic technical examinations to determine abilities/skill levels.
Must possess the physical capabilities to be able to carry machine keys, electronic devices, a radio, tools and notebook on shift.
Ability to multi-task and prioritize effectively in a dynamic, fast-paced environment with demonstrated organizational and time management skills."
Adoption Specialist,Builds Families by interviewing and assessing child and/or birth family; obtaining medical and social backgrounds; obtaining and assessing applications; conducting home studies; helping adoptive parents prepare profile letters; comparing family selection criteria with adoptive parent evaluations; conducting adoptive parent and adoptive child training.,0,"4-6 years Proven experience in child welfare and adoption.
7-9 years Proven experience in child welfare and adoption.","Evaluates adoptive children by interviewing and assessing child and/or birth family; obtaining medical and social backgrounds; developing family selection criteria.
Evaluates adoptive parents by obtaining and assessing applications; conducting home studies; exploring the adoption process and abilities to parent an adopted child, including financial responsibilities and fees; developing recommendations.
Matches adoptive children to adoptive parents by helping adoptive parents prepare profile letters; reviewing lists of waiting families; comparing family selection criteria with adoptive parent evaluations; introducing birth and adoptive parents.
Supports families by conducting adoptive parent and adoptive child training; facilitating, guiding and supporting introduction of children and/or birth parents and adoptive parents; answering questions; being an intermediary with children and/or birth parents and adoptive parents; providing resources and referrals; helping birth parents through grieving process.
Recruits adoptive parents by developing and conducting advertising and promotional campaigns; following-up on personal referrals and inquiries; conducting orientations.
Maintains organization stability and reputation by complying with legal requirements.
Prepares adoption information and reports by collecting, analyzing, and summarizing data and trends.
Improves adoption job knowledge by attending educational workshops; reviewing professional publications; establishing personal networks; benchmarking state-of-the-art practices; participating in professional societies.
Contributes to adoption and organization success by welcoming related, different, and new requests; helping others accomplish job results.","LCSW- License Clinical Social Worker
","Knowledge of patient rights and laws relative to those rights, such as HIPAA
Knowledge of psychological principles and theories pertaining to children
Excellent communication skills both written and verbal
Ability to build comprehensive reports and effectively convey information to others."
